"Method","Tests"
"faulty_programs.GET_FACTORS.get_factors(int)","faulty_programs.GET_FACTORS_TEST.test_0 [],faulty_programs.GET_FACTORS_TEST.test_1 [],faulty_programs.GET_FACTORS_TEST.test_2 [],faulty_programs.GET_FACTORS_TEST.test_3 [],faulty_programs.GET_FACTORS_TEST.test_4 [],faulty_programs.GET_FACTORS_TEST.test_5 [],faulty_programs.GET_FACTORS_TEST.test_6 [],faulty_programs.GET_FACTORS_TEST.test_7 [],faulty_programs.GET_FACTORS_TEST.test_8 [],faulty_programs.GET_FACTORS_TEST.test_9 [],faulty_programs.GET_FACTORS_TEST.test_10 []"
"faulty_programs.IS_VALID_PARENTHESIZATION.is_valid_parenthesization(String)","faulty_programs.IS_VALID_PARENTHESIZATION_TEST.test_0 [],faulty_programs.IS_VALID_PARENTHESIZATION_TEST.test_1 [],faulty_programs.IS_VALID_PARENTHESIZATION_TEST.test_2 []"
"faulty_programs.KHEAPSORT.kheapsort(ArrayList<Integer>,int)","faulty_programs.KHEAPSORT_TEST.test_0 [],faulty_programs.KHEAPSORT_TEST.test_1 [],faulty_programs.KHEAPSORT_TEST.test_2 [],faulty_programs.KHEAPSORT_TEST.test_3 []"
"faulty_programs.KNAPSACK.knapsack(int,int[][])","faulty_programs.KNAPSACK_TEST.test_0 [],faulty_programs.KNAPSACK_TEST.test_1 [],faulty_programs.KNAPSACK_TEST.test_2 [],faulty_programs.KNAPSACK_TEST.test_3 [],faulty_programs.KNAPSACK_TEST.test_4 [],faulty_programs.KNAPSACK_TEST.test_5 [],faulty_programs.KNAPSACK_TEST.test_6 [],faulty_programs.KNAPSACK_TEST.test_7 [],faulty_programs.KNAPSACK_TEST.test_8 []"
"faulty_programs.KTH.kth(ArrayList<Integer>,int)","faulty_programs.KTH_TEST.test_0 [],faulty_programs.KTH_TEST.test_1 [],faulty_programs.KTH_TEST.test_2 [],faulty_programs.KTH_TEST.test_3 [],faulty_programs.KTH_TEST.test_4 [],faulty_programs.KTH_TEST.test_5 [],faulty_programs.KTH_TEST.test_6 []"
"faulty_programs.LCS_LENGTH.lcs_length(String,String)","faulty_programs.LCS_LENGTH_TEST.test_0 [],faulty_programs.LCS_LENGTH_TEST.test_1 [],faulty_programs.LCS_LENGTH_TEST.test_2 [],faulty_programs.LCS_LENGTH_TEST.test_3 [],faulty_programs.LCS_LENGTH_TEST.test_4 [],faulty_programs.LCS_LENGTH_TEST.test_5 [],faulty_programs.LCS_LENGTH_TEST.test_6 [],faulty_programs.LCS_LENGTH_TEST.test_7 [],faulty_programs.LCS_LENGTH_TEST.test_8 []"
"faulty_programs.LEVENSHTEIN.levenshtein(String,String)","faulty_programs.LEVENSHTEIN_TEST.test_0 [],faulty_programs.LEVENSHTEIN_TEST.test_1 [],faulty_programs.LEVENSHTEIN_TEST.test_2 [],faulty_programs.LEVENSHTEIN_TEST.test_3 [],faulty_programs.LEVENSHTEIN_TEST.test_4 [],faulty_programs.LEVENSHTEIN_TEST.test_5 [],faulty_programs.LEVENSHTEIN_TEST.test_6 []"
"faulty_programs.LIS.lis(int[])","faulty_programs.LIS_TEST.test_0 [],faulty_programs.LIS_TEST.test_1 [],faulty_programs.LIS_TEST.test_2 [],faulty_programs.LIS_TEST.test_3 []"
"faulty_programs.LONGEST_COMMON_SUBSEQUENCE.longest_common_subsequence(String,String)","faulty_programs.LONGEST_COMMON_SUBSEQUENCE_TEST.test_0 [],faulty_programs.LONGEST_COMMON_SUBSEQUENCE_TEST.test_1 [],faulty_programs.LONGEST_COMMON_SUBSEQUENCE_TEST.test_2 [],faulty_programs.LONGEST_COMMON_SUBSEQUENCE_TEST.test_3 [],faulty_programs.LONGEST_COMMON_SUBSEQUENCE_TEST.test_4 [],faulty_programs.LONGEST_COMMON_SUBSEQUENCE_TEST.test_5 [],faulty_programs.LONGEST_COMMON_SUBSEQUENCE_TEST.test_6 [],faulty_programs.LONGEST_COMMON_SUBSEQUENCE_TEST.test_7 [],faulty_programs.LONGEST_COMMON_SUBSEQUENCE_TEST.test_8 [],faulty_programs.LONGEST_COMMON_SUBSEQUENCE_TEST.test_9 []"
"faulty_programs.MAX_SUBLIST_SUM.max_sublist_sum(int[])","faulty_programs.MAX_SUBLIST_SUM_TEST.test_0 [],faulty_programs.MAX_SUBLIST_SUM_TEST.test_1 [],faulty_programs.MAX_SUBLIST_SUM_TEST.test_2 [],faulty_programs.MAX_SUBLIST_SUM_TEST.test_3 [],faulty_programs.MAX_SUBLIST_SUM_TEST.test_4 [],faulty_programs.MAX_SUBLIST_SUM_TEST.test_5 []"
"faulty_programs.MERGESORT.merge(ArrayList<Integer>,ArrayList<Integer>)","faulty_programs.MERGESORT_TEST.test_0 [],faulty_programs.MERGESORT_TEST.test_1 [],faulty_programs.MERGESORT_TEST.test_2 [],faulty_programs.MERGESORT_TEST.test_3 [],faulty_programs.MERGESORT_TEST.test_4 [],faulty_programs.MERGESORT_TEST.test_5 [],faulty_programs.MERGESORT_TEST.test_6 [],faulty_programs.MERGESORT_TEST.test_7 [],faulty_programs.MERGESORT_TEST.test_8 [],faulty_programs.MERGESORT_TEST.test_9 [],faulty_programs.MERGESORT_TEST.test_10 [],faulty_programs.MERGESORT_TEST.test_11 [],faulty_programs.MERGESORT_TEST.test_12 []"
"faulty_programs.MERGESORT.mergesort(ArrayList<Integer>)","faulty_programs.MERGESORT_TEST.test_0 [],faulty_programs.MERGESORT_TEST.test_1 [],faulty_programs.MERGESORT_TEST.test_2 [],faulty_programs.MERGESORT_TEST.test_3 [],faulty_programs.MERGESORT_TEST.test_4 [],faulty_programs.MERGESORT_TEST.test_5 [],faulty_programs.MERGESORT_TEST.test_6 [],faulty_programs.MERGESORT_TEST.test_7 [],faulty_programs.MERGESORT_TEST.test_8 [],faulty_programs.MERGESORT_TEST.test_9 [],faulty_programs.MERGESORT_TEST.test_10 [],faulty_programs.MERGESORT_TEST.test_11 [],faulty_programs.MERGESORT_TEST.test_12 []"
"faulty_programs.NEXT_PALINDROME.next_palindrome(int[])","faulty_programs.NEXT_PALINDROME_TEST.test_0 [],faulty_programs.NEXT_PALINDROME_TEST.test_1 [],faulty_programs.NEXT_PALINDROME_TEST.test_2 [],faulty_programs.NEXT_PALINDROME_TEST.test_3 [],faulty_programs.NEXT_PALINDROME_TEST.test_4 []"
"faulty_programs.NEXT_PERMUTATION.next_permutation(ArrayList<Integer>)","faulty_programs.NEXT_PERMUTATION_TEST.test_0 [],faulty_programs.NEXT_PERMUTATION_TEST.test_1 [],faulty_programs.NEXT_PERMUTATION_TEST.test_2 [],faulty_programs.NEXT_PERMUTATION_TEST.test_3 [],faulty_programs.NEXT_PERMUTATION_TEST.test_4 [],faulty_programs.NEXT_PERMUTATION_TEST.test_5 [],faulty_programs.NEXT_PERMUTATION_TEST.test_6 [],faulty_programs.NEXT_PERMUTATION_TEST.test_7 []"
"faulty_programs.PASCAL.pascal(int)","faulty_programs.PASCAL_TEST.test_0 [],faulty_programs.PASCAL_TEST.test_1 [],faulty_programs.PASCAL_TEST.test_2 [],faulty_programs.PASCAL_TEST.test_3 [],faulty_programs.PASCAL_TEST.test_4 []"
"faulty_programs.POSSIBLE_CHANGE.possible_change(int[],int)","faulty_programs.POSSIBLE_CHANGE_TEST.test_0 [],faulty_programs.POSSIBLE_CHANGE_TEST.test_1 [],faulty_programs.POSSIBLE_CHANGE_TEST.test_2 [],faulty_programs.POSSIBLE_CHANGE_TEST.test_3 [],faulty_programs.POSSIBLE_CHANGE_TEST.test_4 [],faulty_programs.POSSIBLE_CHANGE_TEST.test_5 [],faulty_programs.POSSIBLE_CHANGE_TEST.test_6 [],faulty_programs.POSSIBLE_CHANGE_TEST.test_7 [],faulty_programs.POSSIBLE_CHANGE_TEST.test_8 []"
"faulty_programs.POWERSET.powerset(ArrayList)","faulty_programs.POWERSET_TEST.test_0 [],faulty_programs.POWERSET_TEST.test_1 [],faulty_programs.POWERSET_TEST.test_2 [],faulty_programs.POWERSET_TEST.test_3 [],faulty_programs.POWERSET_TEST.test_4 []"
"faulty_programs.QUICKSORT.quicksort(ArrayList<Integer>)","faulty_programs.QUICKSORT_TEST.test_0 [],faulty_programs.QUICKSORT_TEST.test_1 [],faulty_programs.QUICKSORT_TEST.test_2 [],faulty_programs.QUICKSORT_TEST.test_3 [],faulty_programs.QUICKSORT_TEST.test_4 [],faulty_programs.QUICKSORT_TEST.test_5 [],faulty_programs.QUICKSORT_TEST.test_6 [],faulty_programs.QUICKSORT_TEST.test_7 [],faulty_programs.QUICKSORT_TEST.test_8 [],faulty_programs.QUICKSORT_TEST.test_9 [],faulty_programs.QUICKSORT_TEST.test_10 [],faulty_programs.QUICKSORT_TEST.test_11 [],faulty_programs.QUICKSORT_TEST.test_12 []"
"faulty_programs.RPN_EVAL.rpn_eval(ArrayList)","faulty_programs.RPN_EVAL_TEST.test_0 [],faulty_programs.RPN_EVAL_TEST.test_1 [],faulty_programs.RPN_EVAL_TEST.test_2 [],faulty_programs.RPN_EVAL_TEST.test_3 [],faulty_programs.RPN_EVAL_TEST.test_4 [],faulty_programs.RPN_EVAL_TEST.test_5 []"
"faulty_programs.SHORTEST_PATHS.shortest_paths(Node,List<WeightedEdge>)","faulty_programs.SHORTEST_PATHS_TEST.test1 [],faulty_programs.SHORTEST_PATHS_TEST.test2 [],faulty_programs.SHORTEST_PATHS_TEST.test3 []"
"faulty_programs.SHORTEST_PATHS.shortest_paths(String,Map<List<String>,Integer>)","faulty_programs.SHORTEST_PATHS_TEST.test1 [],faulty_programs.SHORTEST_PATHS_TEST.test2 [],faulty_programs.SHORTEST_PATHS_TEST.test3 []"
"faulty_programs.SHORTEST_PATH_LENGTH.getNodeWithMinDistance(Map<Node,Integer>)","faulty_programs.SHORTEST_PATH_LENGTHS_TEST.test1 [],faulty_programs.SHORTEST_PATH_LENGTHS_TEST.test2 [],faulty_programs.SHORTEST_PATH_LENGTHS_TEST.test3 [],faulty_programs.SHORTEST_PATH_LENGTHS_TEST.test4s []"
"faulty_programs.SHORTEST_PATH_LENGTH.shortest_path_length(Map<List<Node>,Integer>,Node,Node)","faulty_programs.SHORTEST_PATH_LENGTHS_TEST.test1 [],faulty_programs.SHORTEST_PATH_LENGTHS_TEST.test2 [],faulty_programs.SHORTEST_PATH_LENGTHS_TEST.test3 [],faulty_programs.SHORTEST_PATH_LENGTHS_TEST.test4s []"
"faulty_programs.SHORTEST_PATH_LENGTHS.shortest_path_lengths(int,Map<List<Integer>,Integer>)","faulty_programs.SHORTEST_PATH_LENGTH_TEST.test1 [],faulty_programs.SHORTEST_PATH_LENGTH_TEST.test2 [],faulty_programs.SHORTEST_PATH_LENGTH_TEST.test3 [],faulty_programs.SHORTEST_PATH_LENGTH_TEST.test4 []"
"faulty_programs.SHUNTING_YARD.shunting_yard(ArrayList)","faulty_programs.SHUNTING_YARD_TEST.test_0 [],faulty_programs.SHUNTING_YARD_TEST.test_1 [],faulty_programs.SHUNTING_YARD_TEST.test_2 [],faulty_programs.SHUNTING_YARD_TEST.test_3 []"
"faulty_programs.SIEVE.all(ArrayList<Boolean>)","faulty_programs.SIEVE_TEST.test_0 [],faulty_programs.SIEVE_TEST.test_1 [],faulty_programs.SIEVE_TEST.test_2 [],faulty_programs.SIEVE_TEST.test_3 [],faulty_programs.SIEVE_TEST.test_4 [],faulty_programs.SIEVE_TEST.test_5 []"
"faulty_programs.SIEVE.any(ArrayList<Boolean>)","faulty_programs.SIEVE_TEST.test_0 [],faulty_programs.SIEVE_TEST.test_1 [],faulty_programs.SIEVE_TEST.test_2 [],faulty_programs.SIEVE_TEST.test_3 [],faulty_programs.SIEVE_TEST.test_4 [],faulty_programs.SIEVE_TEST.test_5 []"
"faulty_programs.SIEVE.list_comp(int,ArrayList<Integer>)","faulty_programs.SIEVE_TEST.test_0 [],faulty_programs.SIEVE_TEST.test_1 [],faulty_programs.SIEVE_TEST.test_2 [],faulty_programs.SIEVE_TEST.test_3 [],faulty_programs.SIEVE_TEST.test_4 [],faulty_programs.SIEVE_TEST.test_5 []"
"faulty_programs.SIEVE.sieve(Integer)","faulty_programs.SIEVE_TEST.test_0 [],faulty_programs.SIEVE_TEST.test_1 [],faulty_programs.SIEVE_TEST.test_2 [],faulty_programs.SIEVE_TEST.test_3 [],faulty_programs.SIEVE_TEST.test_4 [],faulty_programs.SIEVE_TEST.test_5 []"
"faulty_programs.SQRT.sqrt(double,double)","faulty_programs.SQRT_TEST.test_0 [],faulty_programs.SQRT_TEST.test_1 [],faulty_programs.SQRT_TEST.test_2 [],faulty_programs.SQRT_TEST.test_3 [],faulty_programs.SQRT_TEST.test_4 [],faulty_programs.SQRT_TEST.test_5 [],faulty_programs.SQRT_TEST.test_6 []"
"faulty_programs.SUBSEQUENCES.subsequences(int,int,int)","faulty_programs.SUBSEQUENCES_TEST.test_0 [],faulty_programs.SUBSEQUENCES_TEST.test_1 [],faulty_programs.SUBSEQUENCES_TEST.test_2 [],faulty_programs.SUBSEQUENCES_TEST.test_3 [],faulty_programs.SUBSEQUENCES_TEST.test_4 [],faulty_programs.SUBSEQUENCES_TEST.test_5 [],faulty_programs.SUBSEQUENCES_TEST.test_6 [],faulty_programs.SUBSEQUENCES_TEST.test_7 [],faulty_programs.SUBSEQUENCES_TEST.test_8 [],faulty_programs.SUBSEQUENCES_TEST.test_9 [],faulty_programs.SUBSEQUENCES_TEST.test_10 [],faulty_programs.SUBSEQUENCES_TEST.test_11 []"
"faulty_programs.TOPOLOGICAL_ORDERING.topological_ordering(List<Node>)","faulty_programs.TOPOLOGICAL_ORDERING_TEST.test1 [],faulty_programs.TOPOLOGICAL_ORDERING_TEST.test2 [],faulty_programs.TOPOLOGICAL_ORDERING_TEST.test3 []"
"faulty_programs.TO_BASE.to_base(int,int)","faulty_programs.TO_BASE_TEST.test_0 [],faulty_programs.TO_BASE_TEST.test_1 [],faulty_programs.TO_BASE_TEST.test_2 [],faulty_programs.TO_BASE_TEST.test_3 [],faulty_programs.TO_BASE_TEST.test_4 [],faulty_programs.TO_BASE_TEST.test_5 [],faulty_programs.TO_BASE_TEST.test_6 []"
"faulty_programs.WRAP.main(String[])","faulty_programs.WRAP_TEST.test_0 [],faulty_programs.WRAP_TEST.test_1 [],faulty_programs.WRAP_TEST.test_2 [],faulty_programs.WRAP_TEST.test_3 [],faulty_programs.WRAP_TEST.test_4 []"
"faulty_programs.WRAP.wrap(String,int)","faulty_programs.WRAP_TEST.test_0 [],faulty_programs.WRAP_TEST.test_1 [],faulty_programs.WRAP_TEST.test_2 [],faulty_programs.WRAP_TEST.test_3 [],faulty_programs.WRAP_TEST.test_4 []"
