Method,Tests
correct_programs.GET_FACTORS.get_factors(int),"correct_programs.GET_FACTORS_TEST.test_0 [],correct_programs.GET_FACTORS_TEST.test_1 [],correct_programs.GET_FACTORS_TEST.test_2 [],correct_programs.GET_FACTORS_TEST.test_3 [],correct_programs.GET_FACTORS_TEST.test_4 [],correct_programs.GET_FACTORS_TEST.test_5 [],correct_programs.GET_FACTORS_TEST.test_6 [],correct_programs.GET_FACTORS_TEST.test_7 [],correct_programs.GET_FACTORS_TEST.test_8 [],correct_programs.GET_FACTORS_TEST.test_9 [],correct_programs.GET_FACTORS_TEST.test_10 []"
correct_programs.IS_VALID_PARENTHESIZATION.is_valid_parenthesization(String),"correct_programs.IS_VALID_PARENTHESIZATION_TEST.test_0 [],correct_programs.IS_VALID_PARENTHESIZATION_TEST.test_1 [],correct_programs.IS_VALID_PARENTHESIZATION_TEST.test_2 []"
"correct_programs.KHEAPSORT.kheapsort(ArrayList<Integer>,int)","correct_programs.KHEAPSORT_TEST.test_0 [],correct_programs.KHEAPSORT_TEST.test_1 [],correct_programs.KHEAPSORT_TEST.test_2 [],correct_programs.KHEAPSORT_TEST.test_3 []"
"correct_programs.KNAPSACK.knapsack(int,int[][])","correct_programs.KNAPSACK_TEST.test_0 [],correct_programs.KNAPSACK_TEST.test_1 [],correct_programs.KNAPSACK_TEST.test_2 [],correct_programs.KNAPSACK_TEST.test_3 [],correct_programs.KNAPSACK_TEST.test_4 [],correct_programs.KNAPSACK_TEST.test_5 [],correct_programs.KNAPSACK_TEST.test_6 [],correct_programs.KNAPSACK_TEST.test_7 [],correct_programs.KNAPSACK_TEST.test_8 []"
"correct_programs.KTH.kth(ArrayList<Integer>,int)","correct_programs.KTH_TEST.test_0 [],correct_programs.KTH_TEST.test_1 [],correct_programs.KTH_TEST.test_2 [],correct_programs.KTH_TEST.test_3 [],correct_programs.KTH_TEST.test_4 [],correct_programs.KTH_TEST.test_5 [],correct_programs.KTH_TEST.test_6 []"
"correct_programs.LCS_LENGTH.lcs_length(String,String)","correct_programs.LCS_LENGTH_TEST.test_0 [],correct_programs.LCS_LENGTH_TEST.test_1 [],correct_programs.LCS_LENGTH_TEST.test_2 [],correct_programs.LCS_LENGTH_TEST.test_3 [],correct_programs.LCS_LENGTH_TEST.test_4 [],correct_programs.LCS_LENGTH_TEST.test_5 [],correct_programs.LCS_LENGTH_TEST.test_6 [],correct_programs.LCS_LENGTH_TEST.test_7 [],correct_programs.LCS_LENGTH_TEST.test_8 []"
"correct_programs.LEVENSHTEIN.levenshtein(String,String)","correct_programs.LEVENSHTEIN_TEST.test_0 [],correct_programs.LEVENSHTEIN_TEST.test_1 [],correct_programs.LEVENSHTEIN_TEST.test_2 [],correct_programs.LEVENSHTEIN_TEST.test_3 [],correct_programs.LEVENSHTEIN_TEST.test_4 [],correct_programs.LEVENSHTEIN_TEST.test_5 [],correct_programs.LEVENSHTEIN_TEST.test_6 []"
correct_programs.LIS.lis(int[]),"correct_programs.LIS_TEST.test_0 [],correct_programs.LIS_TEST.test_1 [],correct_programs.LIS_TEST.test_2 [],correct_programs.LIS_TEST.test_3 []"
"correct_programs.LONGEST_COMMON_SUBSEQUENCE.longest_common_subsequence(String,String)","correct_programs.LONGEST_COMMON_SUBSEQUENCE_TEST.test_0 [],correct_programs.LONGEST_COMMON_SUBSEQUENCE_TEST.test_1 [],correct_programs.LONGEST_COMMON_SUBSEQUENCE_TEST.test_2 [],correct_programs.LONGEST_COMMON_SUBSEQUENCE_TEST.test_3 [],correct_programs.LONGEST_COMMON_SUBSEQUENCE_TEST.test_4 [],correct_programs.LONGEST_COMMON_SUBSEQUENCE_TEST.test_5 [],correct_programs.LONGEST_COMMON_SUBSEQUENCE_TEST.test_6 [],correct_programs.LONGEST_COMMON_SUBSEQUENCE_TEST.test_7 [],correct_programs.LONGEST_COMMON_SUBSEQUENCE_TEST.test_8 [],correct_programs.LONGEST_COMMON_SUBSEQUENCE_TEST.test_9 []"
correct_programs.MAX_SUBLIST_SUM.max_sublist_sum(int[]),"correct_programs.MAX_SUBLIST_SUM_TEST.test_0 [],correct_programs.MAX_SUBLIST_SUM_TEST.test_1 [],correct_programs.MAX_SUBLIST_SUM_TEST.test_2 [],correct_programs.MAX_SUBLIST_SUM_TEST.test_3 [],correct_programs.MAX_SUBLIST_SUM_TEST.test_4 [],correct_programs.MAX_SUBLIST_SUM_TEST.test_5 []"
"correct_programs.MERGESORT.merge(ArrayList<Integer>,ArrayList<Integer>)","correct_programs.MERGESORT_TEST.test_0 [],correct_programs.MERGESORT_TEST.test_1 [],correct_programs.MERGESORT_TEST.test_2 [],correct_programs.MERGESORT_TEST.test_3 [],correct_programs.MERGESORT_TEST.test_4 [],correct_programs.MERGESORT_TEST.test_5 [],correct_programs.MERGESORT_TEST.test_6 [],correct_programs.MERGESORT_TEST.test_7 [],correct_programs.MERGESORT_TEST.test_8 [],correct_programs.MERGESORT_TEST.test_9 [],correct_programs.MERGESORT_TEST.test_10 [],correct_programs.MERGESORT_TEST.test_11 [],correct_programs.MERGESORT_TEST.test_12 []"
correct_programs.MERGESORT.mergesort(ArrayList<Integer>),"correct_programs.MERGESORT_TEST.test_0 [],correct_programs.MERGESORT_TEST.test_1 [],correct_programs.MERGESORT_TEST.test_2 [],correct_programs.MERGESORT_TEST.test_3 [],correct_programs.MERGESORT_TEST.test_4 [],correct_programs.MERGESORT_TEST.test_5 [],correct_programs.MERGESORT_TEST.test_6 [],correct_programs.MERGESORT_TEST.test_7 [],correct_programs.MERGESORT_TEST.test_8 [],correct_programs.MERGESORT_TEST.test_9 [],correct_programs.MERGESORT_TEST.test_10 [],correct_programs.MERGESORT_TEST.test_11 [],correct_programs.MERGESORT_TEST.test_12 []"
correct_programs.NEXT_PALINDROME.next_palindrome(int[]),"correct_programs.NEXT_PALINDROME_TEST.test_0 [],correct_programs.NEXT_PALINDROME_TEST.test_1 [],correct_programs.NEXT_PALINDROME_TEST.test_2 [],correct_programs.NEXT_PALINDROME_TEST.test_3 [],correct_programs.NEXT_PALINDROME_TEST.test_4 []"
correct_programs.NEXT_PERMUTATION.next_permutation(ArrayList<Integer>),"correct_programs.NEXT_PERMUTATION_TEST.test_0 [],correct_programs.NEXT_PERMUTATION_TEST.test_1 [],correct_programs.NEXT_PERMUTATION_TEST.test_2 [],correct_programs.NEXT_PERMUTATION_TEST.test_3 [],correct_programs.NEXT_PERMUTATION_TEST.test_4 [],correct_programs.NEXT_PERMUTATION_TEST.test_5 [],correct_programs.NEXT_PERMUTATION_TEST.test_6 [],correct_programs.NEXT_PERMUTATION_TEST.test_7 []"
correct_programs.PASCAL.pascal(int),"correct_programs.PASCAL_TEST.test_0 [],correct_programs.PASCAL_TEST.test_1 [],correct_programs.PASCAL_TEST.test_2 [],correct_programs.PASCAL_TEST.test_3 [],correct_programs.PASCAL_TEST.test_4 []"
"correct_programs.POSSIBLE_CHANGE.possible_change(int[],int)","correct_programs.POSSIBLE_CHANGE_TEST.test_0 [],correct_programs.POSSIBLE_CHANGE_TEST.test_1 [],correct_programs.POSSIBLE_CHANGE_TEST.test_2 [],correct_programs.POSSIBLE_CHANGE_TEST.test_3 [],correct_programs.POSSIBLE_CHANGE_TEST.test_4 [],correct_programs.POSSIBLE_CHANGE_TEST.test_5 [],correct_programs.POSSIBLE_CHANGE_TEST.test_6 [],correct_programs.POSSIBLE_CHANGE_TEST.test_7 [],correct_programs.POSSIBLE_CHANGE_TEST.test_8 []"
correct_programs.POWERSET.powerset(ArrayList),"correct_programs.POWERSET_TEST.test_0 [],correct_programs.POWERSET_TEST.test_1 [],correct_programs.POWERSET_TEST.test_2 [],correct_programs.POWERSET_TEST.test_3 [],correct_programs.POWERSET_TEST.test_4 []"
correct_programs.QUICKSORT.quicksort(ArrayList<Integer>),"correct_programs.QUICKSORT_TEST.test_0 [],correct_programs.QUICKSORT_TEST.test_1 [],correct_programs.QUICKSORT_TEST.test_2 [],correct_programs.QUICKSORT_TEST.test_3 [],correct_programs.QUICKSORT_TEST.test_4 [],correct_programs.QUICKSORT_TEST.test_5 [],correct_programs.QUICKSORT_TEST.test_6 [],correct_programs.QUICKSORT_TEST.test_7 [],correct_programs.QUICKSORT_TEST.test_8 [],correct_programs.QUICKSORT_TEST.test_9 [],correct_programs.QUICKSORT_TEST.test_10 [],correct_programs.QUICKSORT_TEST.test_11 [],correct_programs.QUICKSORT_TEST.test_12 []"
correct_programs.RPN_EVAL.rpn_eval(ArrayList),"correct_programs.RPN_EVAL_TEST.test_0 [],correct_programs.RPN_EVAL_TEST.test_1 [],correct_programs.RPN_EVAL_TEST.test_2 [],correct_programs.RPN_EVAL_TEST.test_3 [],correct_programs.RPN_EVAL_TEST.test_4 [],correct_programs.RPN_EVAL_TEST.test_5 []"
"correct_programs.SHORTEST_PATHS.shortest_paths(Node,List<WeightedEdge>)","correct_programs.SHORTEST_PATHS_TEST.test1 [],correct_programs.SHORTEST_PATHS_TEST.test2 [],correct_programs.SHORTEST_PATHS_TEST.test3 []"
"correct_programs.SHORTEST_PATHS.shortest_paths(String,Map<List<String>,Integer>)","correct_programs.SHORTEST_PATHS_TEST.test1 [],correct_programs.SHORTEST_PATHS_TEST.test2 [],correct_programs.SHORTEST_PATHS_TEST.test3 []"
"correct_programs.SHORTEST_PATH_LENGTH.getNodeWithMinDistance(Map<Node,Integer>)","correct_programs.SHORTEST_PATH_LENGTHS_TEST.test1 [],correct_programs.SHORTEST_PATH_LENGTHS_TEST.test2 [],correct_programs.SHORTEST_PATH_LENGTHS_TEST.test3 [],correct_programs.SHORTEST_PATH_LENGTHS_TEST.test4s []"
"correct_programs.SHORTEST_PATH_LENGTH.shortest_path_length(Map<List<Node>,Integer>,Node,Node)","correct_programs.SHORTEST_PATH_LENGTHS_TEST.test1 [],correct_programs.SHORTEST_PATH_LENGTHS_TEST.test2 [],correct_programs.SHORTEST_PATH_LENGTHS_TEST.test3 [],correct_programs.SHORTEST_PATH_LENGTHS_TEST.test4s []"
"correct_programs.SHORTEST_PATH_LENGTHS.shortest_path_lengths(int,Map<List<Integer>,Integer>)","correct_programs.SHORTEST_PATH_LENGTH_TEST.test1 [],correct_programs.SHORTEST_PATH_LENGTH_TEST.test2 [],correct_programs.SHORTEST_PATH_LENGTH_TEST.test3 [],correct_programs.SHORTEST_PATH_LENGTH_TEST.test4 []"
correct_programs.SHUNTING_YARD.shunting_yard(ArrayList),"correct_programs.SHUNTING_YARD_TEST.test_0 [],correct_programs.SHUNTING_YARD_TEST.test_1 [],correct_programs.SHUNTING_YARD_TEST.test_2 [],correct_programs.SHUNTING_YARD_TEST.test_3 []"
correct_programs.SIEVE.all(ArrayList<Boolean>),"correct_programs.SIEVE_TEST.test_0 [],correct_programs.SIEVE_TEST.test_1 [],correct_programs.SIEVE_TEST.test_2 [],correct_programs.SIEVE_TEST.test_3 [],correct_programs.SIEVE_TEST.test_4 [],correct_programs.SIEVE_TEST.test_5 []"
correct_programs.SIEVE.any(ArrayList<Boolean>),"correct_programs.SIEVE_TEST.test_0 [],correct_programs.SIEVE_TEST.test_1 [],correct_programs.SIEVE_TEST.test_2 [],correct_programs.SIEVE_TEST.test_3 [],correct_programs.SIEVE_TEST.test_4 [],correct_programs.SIEVE_TEST.test_5 []"
"correct_programs.SIEVE.list_comp(int,ArrayList<Integer>)","correct_programs.SIEVE_TEST.test_0 [],correct_programs.SIEVE_TEST.test_1 [],correct_programs.SIEVE_TEST.test_2 [],correct_programs.SIEVE_TEST.test_3 [],correct_programs.SIEVE_TEST.test_4 [],correct_programs.SIEVE_TEST.test_5 []"
correct_programs.SIEVE.sieve(Integer),"correct_programs.SIEVE_TEST.test_0 [],correct_programs.SIEVE_TEST.test_1 [],correct_programs.SIEVE_TEST.test_2 [],correct_programs.SIEVE_TEST.test_3 [],correct_programs.SIEVE_TEST.test_4 [],correct_programs.SIEVE_TEST.test_5 []"
"correct_programs.SQRT.sqrt(double,double)","correct_programs.SQRT_TEST.test_0 [],correct_programs.SQRT_TEST.test_1 [],correct_programs.SQRT_TEST.test_2 [],correct_programs.SQRT_TEST.test_3 [],correct_programs.SQRT_TEST.test_4 [],correct_programs.SQRT_TEST.test_5 [],correct_programs.SQRT_TEST.test_6 []"
"correct_programs.SUBSEQUENCES.subsequences(int,int,int)","correct_programs.SUBSEQUENCES_TEST.test_0 [],correct_programs.SUBSEQUENCES_TEST.test_1 [],correct_programs.SUBSEQUENCES_TEST.test_2 [],correct_programs.SUBSEQUENCES_TEST.test_3 [],correct_programs.SUBSEQUENCES_TEST.test_4 [],correct_programs.SUBSEQUENCES_TEST.test_5 [],correct_programs.SUBSEQUENCES_TEST.test_6 [],correct_programs.SUBSEQUENCES_TEST.test_7 [],correct_programs.SUBSEQUENCES_TEST.test_8 [],correct_programs.SUBSEQUENCES_TEST.test_9 [],correct_programs.SUBSEQUENCES_TEST.test_10 [],correct_programs.SUBSEQUENCES_TEST.test_11 []"
correct_programs.TOPOLOGICAL_ORDERING.topological_ordering(List<Node>),"correct_programs.TOPOLOGICAL_ORDERING_TEST.test1 [],correct_programs.TOPOLOGICAL_ORDERING_TEST.test2 [],correct_programs.TOPOLOGICAL_ORDERING_TEST.test3 []"
"correct_programs.TO_BASE.to_base(int,int)","correct_programs.TO_BASE_TEST.test_0 [],correct_programs.TO_BASE_TEST.test_1 [],correct_programs.TO_BASE_TEST.test_2 [],correct_programs.TO_BASE_TEST.test_3 [],correct_programs.TO_BASE_TEST.test_4 [],correct_programs.TO_BASE_TEST.test_5 [],correct_programs.TO_BASE_TEST.test_6 []"
correct_programs.WRAP.main(String[]),"correct_programs.WRAP_TEST.test_0 [],correct_programs.WRAP_TEST.test_1 [],correct_programs.WRAP_TEST.test_2 [],correct_programs.WRAP_TEST.test_3 [],correct_programs.WRAP_TEST.test_4 []"
"correct_programs.WRAP.wrap(String,int)","correct_programs.WRAP_TEST.test_0 [],correct_programs.WRAP_TEST.test_1 [],correct_programs.WRAP_TEST.test_2 [],correct_programs.WRAP_TEST.test_3 [],correct_programs.WRAP_TEST.test_4 []"
